rank,airport,iata,city,state,traffic2014,lat,lng
1,Los Angeles International Airport,LAX,Los Angeles,CA,34314197,33.9425,118.4072
2,San Francisco International Airport,SFO,San Francisco,CA,22756008,37.6189,122.375
3,San Diego International Airport,SAN,San Diego,CA,9333152,32.7336,117.1897
4,Oakland International Airport,OAK,Oakland,CA,5069257,37.7214,122.2208
5,San Jose International Airport,SJC,San Jose,CA,4621003,37.3628,121.9292
6,John Wayne International Airport,SNA,Santa Ana,CA,4584147,33.6756,117.8683
7,Sacramento International Airport,SMF,Sacramento,CA,4384616,38.6956,121.5908
8,LA/Ontario International Airport,ONT,Ontario,CA,2037346,34.0561,117.6011
9,Bob Hope Airport,BUR,Burbank,CA,1928491,34.2006,118.3586
10,Long Beach Airport,LGB,Long Beach,CA,1368923,33.8178,118.1517
11,Palm Springs Airport,PSP,Palm Springs,CA,953607,33.8297,116.5067
12,Fresno International Airport,FAT,Fresno,CA,710353,36.7761,119.7181
13,Santa Barbara Airport,SBA,Santa Barbara,CA,355049,34.4261,119.8414
